Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
cell wall biogenesis [GO:0042546],12,1,0.0397662924073755,0.8619298245614037,0.083,Q8L9A9,BP
xyloglucan metabolic process [GO:0010411],8,1,0.11679340685874628,0.8619298245614037,0.125,Q8L9A9,BP
protein refolding [GO:0042026],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8VYJ7,BP
post-Golgi vesicle-mediated transport [GO:0006892],1,1,0.7650000000000001,0.8619298245614037,1,Q8W4K5,BP
protein maturation by copper ion transfer [GO:0015680],1,1,0.7650000000000001,0.8619298245614037,1,Q93VM8,BP
chromosome segregation [GO:0007059],2,1,0.5851350675337672,0.8619298245614037,0.5,Q93Y31,BP
cellular response to nitrate [GO:0071249],1,1,0.7650000000000001,0.8619298245614037,1,Q93YU8,BP
nitrate transmembrane transport [GO:0015706],2,1,0.5851350675337672,0.8619298245614037,0.5,Q93YU8,BP
nitrogen compound transport [GO:0071705],3,2,0.8604238380451487,0.9205666310621526,0.667,Q93YU8/Q9ZQ88,BP
response to nitrate [GO:0010167],3,1,0.44749068227807576,0.8619298245614037,0.333,Q93YU8,BP
response to nitrogen compound [GO:1901698],1,1,0.7650000000000001,0.8619298245614037,1,Q93YU8,BP
negative regulation of peptidase activity [GO:0010466],3,1,0.44749068227807576,0.8619298245614037,0.333,Q945Q1,BP
positive regulation of abscisic acid-activated signaling pathway [GO:0009789],6,2,0.5697519843280208,0.8619298245614037,0.333,Q94C77/Q9SSL1,BP
mitochondrial fission [GO:0000266],1,1,0.7650000000000001,0.8619298245614037,1,Q94CK3,BP
phenylalanyl-tRNA aminoacylation [GO:0006432],2,1,0.5851350675337672,0.8619298245614037,0.5,Q94K73,BP
hydrogen peroxide catabolic process [GO:0042744],9,3,0.6427405482700633,0.8619298245614037,0.333,Q96519/Q96522/Q9LHA7,BP
rhythmic process [GO:0048511],4,1,0.3421723945110777,0.8619298245614037,0.25,Q96519,BP
protein autoubiquitination [GO:0051865],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9C9A6,BP
protein destabilization [GO:0031648],1,1,0.7650000000000001,0.8619298245614037,1,Q9C9A6,BP
trichome differentiation [GO:0010026],3,2,0.8604238380451487,0.9205666310621526,0.667,Q9FG05/Q9LTF7,BP
trichome morphogenesis [GO:0010090],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9FG05,BP
response to metal ion [GO:0010038],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9FID9,BP
negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736],1,1,0.7650000000000001,0.8619298245614037,1,Q9FKB5,BP
cell plate assembly [GO:0000919],1,1,0.7650000000000001,0.8619298245614037,1,Q9FY61,BP
cytokinesis by cell plate formation [GO:0000911],6,1,0.19997048932111194,0.8619298245614037,0.167,Q9FY61,BP
callus formation [GO:1990110],1,1,0.7650000000000001,0.8619298245614037,1,Q9LDL7,BP
protein acetylation [GO:0006473],1,1,0.7650000000000001,0.8619298245614037,1,Q9LE42,BP
mRNA transport [GO:0051028],6,1,0.19997048932111194,0.8619298245614037,0.167,Q9LFN6,BP
regulation of secondary shoot formation [GO:2000032],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LIF4,BP
strigolactone biosynthetic process [GO:1901601],1,1,0.7650000000000001,0.8619298245614037,1,Q9LIF4,BP
mucilage biosynthetic process involved in seed coat development [GO:0048354],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LPU2,BP
intracellular iron ion homeostasis [GO:0006879],1,1,0.7650000000000001,0.8619298245614037,1,Q9LPU9,BP
intracellular manganese ion homeostasis [GO:0030026],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LPU9,BP
intracellular sequestering of iron ion [GO:0006880],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LPU9,BP
response to iron ion [GO:0010039],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LPU9,BP
recognition of pollen [GO:0048544],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9LPZ3,BP
protein dephosphorylation [GO:0006470],13,4,0.6346109340853084,0.8619298245614037,0.308,Q9LQN6/Q9LZ86/O81716/Q3EAZ3,BP
fructose 6-phosphate metabolic process [GO:0006002],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9M0F9,BP
glycolytic process [GO:0006096],8,2,0.4051343193924861,0.8619298245614037,0.25,Q9M0F9/Q9LM13,BP
photosynthesis [GO:0015979],15,3,0.27808578546561336,0.8619298245614037,0.2,Q9M0V6/Q37165/Q9FHL4,BP
protein glutathionylation [GO:0010731],1,1,0.7650000000000001,0.8619298245614037,1,Q9M2W2,BP
response to toxic substance [GO:0009636],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9M2W2,BP
chlorophyll catabolic process [GO:0015996],1,1,0.7650000000000001,0.8619298245614037,1,Q9SBB2,BP
cytochrome complex assembly [GO:0017004],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SBB2,BP
ubiquinone biosynthetic process [GO:0006744],1,1,0.7650000000000001,0.8619298245614037,1,Q9SBB2,BP
miRNA processing [GO:0035196],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9SKN2,BP
phospholipid catabolic process [GO:0009395],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SRQ7,BP
regulation of tryptophan metabolic process [GO:0090357],1,1,0.7650000000000001,0.8619298245614037,1,Q9SZ06,BP
root regeneration [GO:0062211],1,1,0.7650000000000001,0.8619298245614037,1,Q9SZ06,BP
magnesium ion transport [GO:0015693],1,1,0.7650000000000001,0.8619298245614037,1,F4JKQ7,BP
regulation of ARF protein signal transduction [GO:0032012],2,1,0.5851350675337672,0.8619298245614037,0.5,F4JN05,BP
root hair elongation [GO:0048767],6,1,0.19997048932111194,0.8619298245614037,0.167,F4KBY0,BP
cellulose biosynthetic process [GO:0030244],5,2,0.6644590185996676,0.8619298245614037,0.4,O23386/O49323,BP
plant-type primary cell wall biogenesis [GO:0009833],1,1,0.7650000000000001,0.8619298245614037,1,O23386,BP
diterpenoid biosynthetic process [GO:0016102],2,1,0.5851350675337672,0.8619298245614037,0.5,O23651,BP
terpene biosynthetic process [GO:0046246],1,1,0.7650000000000001,0.8619298245614037,1,O23651,BP
arginine biosynthetic process [GO:0006526],3,1,0.44749068227807576,0.8619298245614037,0.333,O50039,BP
nicotianamine biosynthetic process [GO:0030418],2,1,0.5851350675337672,0.8619298245614037,0.5,O80483,BP
phloem transport [GO:0010233],2,1,0.5851350675337672,0.8619298245614037,0.5,O80483,BP
translation [GO:0006412],36,5,0.05056141389555979,0.8619298245614037,0.139,P49201/Q8W463/Q9FLE4/Q9LUZ4/Q8LPJ7,BP
"photosynthesis, light reaction [GO:0019684]",4,2,0.763445545579071,0.8619298245614037,0.5,P56756/Q37165,BP
mRNA stabilization [GO:0048255],2,1,0.5851350675337672,0.8619298245614037,0.5,Q0WLC6,BP
trehalose biosynthetic process [GO:0005992],1,1,0.7650000000000001,0.8619298245614037,1,Q0WUI9,BP
"positive regulation of long-day photoperiodism, flowering [GO:0048578]",2,1,0.5851350675337672,0.8619298245614037,0.5,Q38840,BP
regulation of translation [GO:0006417],11,1,0.05207054351433171,0.8619298245614037,0.091,Q6ICX4,BP
protein polyubiquitination [GO:0000209],2,1,0.5851350675337672,0.8619298245614037,0.5,Q6IDS6,BP
intra-Golgi vesicle-mediated transport [GO:0006891],2,1,0.5851350675337672,0.8619298245614037,0.5,Q6NMI3,BP
cytochrome b6f complex assembly [GO:0010190],1,1,0.7650000000000001,0.8619298245614037,1,Q6NQK9,BP
phosphate ion transport [GO:0006817],2,1,0.5851350675337672,0.8619298245614037,0.5,Q6R8G2,BP
positive regulation of mitochondrial mRNA catabolic process [GO:1905639],1,1,0.7650000000000001,0.8619298245614037,1,Q84MA3,BP
RNA modification [GO:0009451],11,1,0.05207054351433171,0.8619298245614037,0.091,Q84MA3,BP
toxin catabolic process [GO:0009407],3,1,0.44749068227807576,0.8619298245614037,0.333,Q84TK0,BP
biosynthetic process [GO:0009058],5,1,0.26160073848893006,0.8619298245614037,0.2,Q8GYY0,BP
cellular oxidant detoxification [GO:0098869],1,1,0.7650000000000001,0.8619298245614037,1,Q8L8S2,BP
"regulation of short-day photoperiodism, flowering [GO:0048587]",1,1,0.7650000000000001,0.8619298245614037,1,Q8L8S2,BP
P450-containing electron transport chain [GO:0140647],1,1,0.7650000000000001,0.8619298245614037,1,Q8S904,BP
regulation of timing of plant organ formation [GO:0090709],1,1,0.7650000000000001,0.8619298245614037,1,Q9FIB0,BP
nitrate assimilation [GO:0042128],6,2,0.5697519843280208,0.8619298245614037,0.333,Q9FJH7/Q9M172,BP
chloroplast RNA processing [GO:0031425],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9FLD8,BP
positive regulation of translation [GO:0045727],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9FLE4,BP
mitochondrial mRNA modification [GO:0080156],1,1,0.7650000000000001,0.8619298245614037,1,Q9FNN9,BP
gluconeogenesis [GO:0006094],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LM13,BP
COPII-coated vesicle budding [GO:0090114],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LUG1,BP
maturation of LSU-rRNA [GO:0000470],1,1,0.7650000000000001,0.8619298245614037,1,Q9LUG5,BP
ribosomal large subunit assembly [GO:0000027],1,1,0.7650000000000001,0.8619298245614037,1,Q9LUG5,BP
RNA biosynthetic process [GO:0032774],1,1,0.7650000000000001,0.8619298245614037,1,Q9LUG5,BP
cellular response to salt [GO:1902075],1,1,0.7650000000000001,0.8619298245614037,1,Q9M172,BP
chloride transport [GO:0006821],1,1,0.7650000000000001,0.8619298245614037,1,Q9M172,BP
oligopeptide transport [GO:0006857],1,1,0.7650000000000001,0.8619298245614037,1,Q9M172,BP
fructose metabolic process [GO:0006000],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9M1B9,BP
starch biosynthetic process [GO:0019252],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9M1B9,BP
stress response to metal ion [GO:0097501],1,1,0.7650000000000001,0.8619298245614037,1,Q9SCM4,BP
"mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]",2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SG91,BP
proton transmembrane transport [GO:1902600],10,1,0.06817130367994761,0.8619298245614037,0.1,Q9SIT5,BP
chromatin remodeling [GO:0006338],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9SMM8,BP
plant-type secondary cell wall biogenesis [GO:0009834],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9SNE5,BP
xylan biosynthetic process [GO:0045492],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SNE5,BP
positive regulation of GTPase activity [GO:0043547],1,1,0.7650000000000001,0.8619298245614037,1,Q9SSL1,BP
ribosome biogenesis [GO:0042254],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9SVY0,BP
CDP-diacylglycerol biosynthetic process [GO:0016024],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9SYC8,BP
calcium-mediated signaling [GO:0019722],10,2,0.27882556225703725,0.8619298245614037,0.2,A7REH2/A8MQI8,BP
cell-cell signaling [GO:0007267],6,2,0.5697519843280208,0.8619298245614037,0.333,A7REH2/A8MQI8,BP
regulation of growth [GO:0040008],7,2,0.4827772996950015,0.8619298245614037,0.286,A7REH2/A8MQI8,BP
protein maturation by [4Fe-4S] cluster transfer [GO:0106035],1,1,0.7650000000000001,0.8619298245614037,1,A8MR89,BP
response to stress [GO:0006950],4,1,0.3421723945110777,0.8619298245614037,0.25,F4J0B7,BP
rejection of self pollen [GO:0060320],4,2,0.763445545579071,0.8619298245614037,0.5,O23020/P0DN92,BP
spliceosomal snRNP assembly [GO:0000387],2,1,0.5851350675337672,0.8619298245614037,0.5,O82221,BP
valine catabolic process [GO:0006574],2,1,0.5851350675337672,0.8619298245614037,0.5,Q6NMB0,BP
phenylpropanoid biosynthetic process [GO:0009699],3,1,0.44749068227807576,0.8619298245614037,0.333,Q84TH6,BP
amino acid transport [GO:0006865],8,2,0.4051343193924861,0.8619298245614037,0.25,Q8L4X4/Q9SX98,BP
secondary metabolite biosynthetic process [GO:0044550],1,1,0.7650000000000001,0.8619298245614037,1,Q9C5K7,BP
fatty acid metabolic process [GO:0006631],6,1,0.19997048932111194,0.8619298245614037,0.167,Q9FFE9,BP
clathrin coat assembly [GO:0048268],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LVD8,BP
clathrin-dependent endocytosis [GO:0072583],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LVD8,BP
DNA damage response [GO:0006974],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9LVX6,BP
endoplasmic reticulum cisternal network assembly [GO:0071784],1,1,0.7650000000000001,0.8619298245614037,1,Q9ZQ34,BP
endoplasmic reticulum tubular network organization [GO:0071786],1,1,0.7650000000000001,0.8619298245614037,1,Q9ZQ34,BP
cytosol [GO:0005829],214,56,0.8136519270557714,0.9278486887478095,0.262,A4GNA8/F4IHS2/F4KHI3/O49596/O65896/P27323/P42644/P84634/P93033/Q0WQ75/Q6STH5/Q84JW1/Q84L31/Q8GYC7/Q8L7U5/Q8W4E2/Q93Z16/Q93Z30/Q941D6/Q949P3/Q949S9/Q9LVM5/Q9LZT0/Q9M2U2/Q9MA55/Q9SJW3/Q9SY73/Q9SZI2/Q9XF57/F4JLK2/F4K8S5/O81292/O82089/P41377/Q56Y85/Q8VZJ9/Q945Q1/Q94K73/Q9LZN0/Q9M0F9/Q9M2W2/Q9SRV1/F4JN05/O65595/Q84TK0/Q8GYA6/Q8S8D3/Q8S904/Q8W463/Q9FX94/Q9M1B9/Q9M2S7/Q9SG91/Q9SMM8/O49513/Q9M1G8,CC
endoplasmic reticulum [GO:0005783],78,26,0.9714378321503676,0.9796894782971646,0.333,A4GNA8/P31582/Q4VCM1/Q7DMA9/Q8GV50/Q8GWH3/Q8RWS1/Q93Z16/Q949U1/Q9FF75/Q9M2U2/Q9MAM3/Q9ZUU4/F4J270/F4K8S5/O22227/Q8VY92/Q945Q1/Q9FM96/Q9SIY7/O04036/Q9FZ63/Q9SCN2/O81815/Q8GWC3/Q9ZQ34,CC
endoplasmic reticulum membrane [GO:0005789],61,20,0.9397813734760401,0.9748606446080185,0.328,A4GNA8/P43256/Q38870/Q7DMA9/Q8VZB2/Q949U1/Q9FF75/Q9LVP9/Q9M2U2/Q9MAM3/Q9SLD2/O22227/Q304A0/Q8L8W0/Q8VY92/Q3EC77/Q8GYW9/Q9LUG1/Q9M115/Q8LED0,CC
"chromosome, telomeric region [GO:0000781]",1,1,0.7650000000000001,0.8917003210494665,1,F4HW51,CC
nucleus [GO:0005634],462,110,0.5486376068780889,0.8917003210494665,0.238,F4HW51/F4HZD1/F4IHS2/F4JCU0/F4JNX3/F4JXF1/F4KHI3/O22446/O24646/O49596/O49717/O49840/O82268/P42644/P84634/P92947/Q07970/Q2LAE1/Q38847/Q38874/Q38895/Q6X7J5/Q7DMA9/Q7XJU0/Q84L31/Q84MB2/Q8GXW1/Q8GZ13/Q8H1R0/Q8L7U5/Q8RWS1/Q8VWK0/Q8VZB2/Q8VZS9/Q8W2F3/Q8W4E2/Q93Z30/Q941D6/Q944Q0/Q945P1/Q949S9/Q949U1/Q94C69/Q94F88/Q94FL7/Q9C5J9/Q9C690/Q9C9L2/Q9FN02/Q9FNA4/Q9FNY7/Q9FRV4/Q9LDH1/Q9LFL6/Q9LSD5/Q9LSI7/Q9LXD7/Q9LZK4/Q9LZT0/Q9M1R4/Q9SAK5/Q9SZF7/Q9SZI2/F4HNU8/F4JF14/O23077/O23184/O23212/P41377/Q39071/Q39189/Q6J9S1/Q700W2/Q8S528/Q8S8C6/Q93YU8/Q9C9A6/Q9FFG0/Q9FG05/Q9LFN6/Q9LQN6/Q9LTF7/Q9LZ86/Q9SZ06/Q9ZW76/O23660/P49592/Q38840/Q3EBZ2/Q6ICX4/Q8GYA6/Q8H181/Q9C8N7/Q9FGP8/Q9FKC6/Q9LG02/Q9LIA4/Q9M0R0/Q9SCM4/Q9SMM8/Q9SSL1/Q9SVU7/Q9SVY0/Q6NN02/Q6NNN0/Q9FE62/Q9FMR3/Q9STJ7/Q9SXA0/Q9ZR14,CC
Ino80 complex [GO:0031011],2,1,0.5851350675337672,0.8917003210494665,0.5,F4HZD1,CC
Set1C/COMPASS complex [GO:0048188],1,1,0.7650000000000001,0.8917003210494665,1,F4HZD1,CC
spliceosomal complex [GO:0005681],14,6,0.9136411116561228,0.9748606446080185,0.429,F4JCU0/Q949S9/Q9LNC5/O23212/Q9SHY8/O82221,CC
cytoplasm [GO:0005737],183,46,0.6796327775720701,0.8917003210494665,0.251,F4JNX3/O49717/O49840/P42644/Q07970/Q38847/Q38874/Q84L31/Q8H1R0/Q8VWK0/Q8VZS9/Q93Z30/Q941D6/Q945P1/Q94C69/Q9C5J9/Q9C9C9/Q9CA90/Q9FNA4/Q9MA55/Q9S750/Q9SZI2/O22227/O23184/O49606/Q39071/Q56Y85/Q700W2/Q9LDL7/Q9LIF4/Q9SIV9/Q9SKN2/O23651/Q6ICX4/Q84TK0/Q8S8D3/Q8S8M5/Q9FKC6/Q9LZU5/Q9SCM4/A1L4Y2/Q6NN02/Q9FE62/Q9FH04/Q9SX73/Q9SXA0,CC
mitochondrion [GO:0005739],164,47,0.9348968491595567,0.9748606446080185,0.287,F4JXF1/O49543/O65896/P42644/P92947/P93033/Q42556/Q52K88/Q84JW1/Q93WF6/Q93Z16/Q941D6/Q945K7/Q949P3/Q94C69/Q94EH2/Q9C9C0/Q9CA90/Q9SJW3/F4J1H7/O82359/Q8L8W0/Q8VYJ7/Q94CK3/Q94K73/Q9FKM2/Q9SBB2/Q9ZVA2/F4K4Y5/Q39084/Q84MA3/Q8S904/Q8W5R6/Q9CAA0/Q9FNN9/Q9SG91/Q9SRP6/Q9SSL1/F4I9T0/F4J0B7/P0C7Q9/Q8L8C0/Q9SAH2/Q9SV46/Q9ZQE6/Q9ZVF2/P93295,CC
nucleolar ribonuclease P complex [GO:0005655],1,1,0.7650000000000001,0.8917003210494665,1,F4JXF1,CC
chloroplast thylakoid [GO:0009534],16,4,0.460039456058428,0.8917003210494665,0.25,F4JZG9/Q84JF5/Q9C9C0/Q9ZUU4,CC
chloroplast thylakoid membrane [GO:0009535],43,9,0.28710222523874274,0.8917003210494665,0.209,F4JZG9/O82230/Q8GYC7/Q8L540/Q9C9C0/Q9ZUU4/P56756/Q37165/Q6NQK9,CC
apoplast [GO:0048046],66,11,0.0648593993253076,0.8917003210494665,0.167,O04529/Q8RY23/Q9LNN7/F4J270/Q8L9A9/Q9ZVA2/P92997/Q9M263/A7REH2/A8MQI8/Q84TH6,CC
extracellular matrix [GO:0031012],4,2,0.763445545579071,0.8917003210494665,0.5,O04529/Q9ZUJ5,CC
plasma membrane [GO:0005886],277,54,0.03644306425842658,0.8917003210494665,0.195,O04529/O49840/P27323/P42644/Q38874/Q42556/Q8H1R0/Q8L796/Q8S4Y1/Q945K7/Q9LFL6/Q9ZUJ5/O04533/O65483/O81292/P41377/Q6NLF4/Q84M95/Q945Q1/Q94C77/Q9FKM2/Q9FWX6/Q9FY61/Q9FY78/Q9LD40/Q9LPZ3/Q9LZN0/Q9M0F9/Q9SRQ7/Q9ZVA2/F4J9A8/F4JKQ7/O22194/O23386/P49201/Q1PFD8/Q3EBR4/Q6R8G2/Q8S9J6/Q93ZE9/Q9FE79/Q9LZB8/Q9M2K6/Q9SSL1/O49329/O49513/O81816/Q1PEN0/Q8L4X4/Q8VZQ3/Q9FJF6/Q9FN79/Q9SX98/Q9XID2,CC
side of membrane [GO:0098552],27,8,0.7107136062513667,0.8917003210494665,0.296,O04529/Q9ZUJ5/Q6NLF4/Q9FY78/O22194/Q1PFD8/Q8S9J6/Q9M2K6,CC
histone deacetylase complex [GO:0000118],2,2,0.9448649324662332,0.9748606446080185,1,O22446/C0SUW7,CC
protein-DNA complex [GO:0032993],1,1,0.7650000000000001,0.8917003210494665,1,O24646,CC
plastid [GO:0009536],82,17,0.23378679249179313,0.8917003210494665,0.207,O49543/P42644/Q8GWH3/Q8L540/Q8S4Y1/Q8S948/Q93VM8/Q945Q1/Q9FID9/Q9FKM2/Q9FM96/F4K4Y5/P56756/Q94CJ5/Q9FE79/Q9FIA1/Q9LVD8,CC
chromatin [GO:0000785],4,1,0.3421723945110777,0.8917003210494665,0.25,O49596,CC
membrane [GO:0016020],163,38,0.44389870629442774,0.8917003210494665,0.233,O49717/Q0WQ75/Q1JPL7/Q4VCM1/Q8RWS1/Q9M092/Q9MAM3/Q9SLD2/Q9SM02/Q9T051/F4KA50/O22227/O23081/O64697/Q500V2/Q6R2K2/Q93VM8/Q9FID9/O04036/Q9FIB0/Q9FJH7/Q9M172/Q9SCN2/Q9SIT5/Q9SUY9/Q9SYC8/Q9ZQ88/O22704/O49726/Q8H1R3/Q9FG65/Q9FIZ9/Q9LDH3/Q9LDX3/Q9LSF0/Q9LTM1/Q9SKJ7/P0C8Q9,CC
extracellular region [GO:0005576],132,31,0.4624809448614775,0.8917003210494665,0.235,O81417/Q1JPL7/Q8GV50/Q9LNC5/O23244/O48711/Q96519/Q96522/Q9FY78/Q9LHA7/Q9SIH2/Q9SIV9/F4JA91/Q39066/O22927/O23020/O80641/P0DN92/P82628/P82637/P82643/P82762/Q2V392/Q2V468/Q56XB0/Q8RWC5/Q94JR6/Q9FIA1/Q9FN79/Q9SF94/Q9SIP6,CC
plant-type cell wall [GO:0009505],37,8,0.33001350305814703,0.8917003210494665,0.216,O81417/P42644/Q93Z16/Q9LNC5/Q9LHA7/Q9SIV9/Q9ZVA2/Q9M263,CC
chloroplast [GO:0009507],191,38,0.09076117251904536,0.8917003210494665,0.199,O82230/P42644/P92947/Q6STH5/Q84MB5/Q8L540/Q8LPN3/Q8S948/Q941D6/Q94EH2/Q9C9C0/Q9FGS4/Q9LDH1/Q9ZUU4/Q9ZVN2/O82089/Q84UV0/Q8VYJ7/Q94K73/Q9M0V6/Q9M2W2/O50039/P49243/P56756/Q0WLC6/Q0WN69/Q37165/Q6NQK9/Q84VY3/Q8W463/Q94CJ5/Q9FHL4/Q9LM13/Q9LZB8/Q9SJU0/A3KPF8/O64624/Q6NN02,CC
chloroplast envelope [GO:0009941],56,10,0.11847766850754315,0.8917003210494665,0.179,O82230/Q94EH2/Q9C9C0/Q9SLD2/Q9ZUU4/Q8VYJ7/Q8W463/Q94CJ5/Q9FLD8/Q9LZB8,CC
chloroplast stroma [GO:0009570],76,14,0.11218695291222214,0.8917003210494665,0.184,O82230/P92947/Q6STH5/Q941D6/Q9C9C0/Q9ZUU4/Q84RK2/Q8VYJ7/Q94K73/Q9M2W2/O50039/P49243/Q8W463/Q9FLD8,CC
vacuole [GO:0005773],18,6,0.7682341227503096,0.8917003210494665,0.333,O82230/Q8W4E2/O81716/P0CAN7/O82221/Q9SKJ7,CC
nuclear matrix [GO:0016363],4,1,0.3421723945110777,0.8917003210494665,0.25,O82289,CC
perinuclear region of cytoplasm [GO:0048471],3,1,0.44749068227807576,0.8917003210494665,0.333,P27323,CC
protein-containing complex [GO:0032991],4,1,0.3421723945110777,0.8917003210494665,0.25,P27323,CC
endosome membrane [GO:0010008],17,8,0.9721534053871864,0.9796894782971646,0.471,P31582/Q8S396/Q9LVP9/Q9SIY7/Q8S8D3/Q9FZ63/Q8GWC3/Q9FVV6,CC
vacuolar membrane [GO:0005774],13,5,0.8308148277908816,0.9391819792418661,0.385,P31582/Q8W4E2/Q9FWX6/Q9LPU9/P0CAN7,CC
Golgi apparatus [GO:0005794],63,18,0.7945424567574425,0.9140753927298011,0.286,P42644/Q0WPN7/Q8W4E2/Q93Z16/Q945P1/Q9LVP9/Q9XGM8/Q8RXE1/Q93VM8/Q9LPU2/Q9SIY7/Q9ZVA2/Q3EC77/Q6NMI3/Q9SNE5/Q8LPJ7/Q9LVD8/Q9SKJ7,CC
plant-type vacuole [GO:0000325],60,13,0.317654915917678,0.8917003210494665,0.217,P42644/Q1JPL7/Q42556/Q8W4E2/Q93Z16/P41377/Q93VM8/Q93Y31/Q945Q1/P0CAN7/Q8GYW9/O23550/Q9C8J4,CC
plasmodesma [GO:0009506],79,13,0.045661070636488055,0.8917003210494665,0.165,P42644/Q38874/Q43128/Q93Z16/Q9LZT0/P41377/Q93VM8/Q93Y31/Q9SIV9/Q9ZVA2/Q9M2K6/Q9SVY0/Q8LPJ7,CC
intracellular membrane-bounded organelle [GO:0043231],5,2,0.6644590185996676,0.8917003210494665,0.4,P43256/Q4VCM1,CC
cytoplasmic ribonucleoprotein granule [GO:0036464],3,1,0.44749068227807576,0.8917003210494665,0.333,P84634,CC
stromule [GO:0010319],4,2,0.763445545579071,0.8917003210494665,0.5,P92947/Q9ZUU4,CC
peroxisomal membrane [GO:0005778],4,3,0.9574021305112264,0.9796894782971646,0.75,Q06850/Q84JW1/Q94CK3,CC
peroxisome [GO:0005777],27,9,0.8384422099178557,0.9396335111148382,0.333,Q06850/Q84JW1/Q84P21/Q8S4Y1/Q9LVM5/Q84K35/Q94CK3/Q9M2W2/Q6NMB0,CC
kinetochore [GO:0000776],1,1,0.7650000000000001,0.8917003210494665,1,Q07970,CC
microtubule [GO:0005874],22,6,0.5829826552989619,0.8917003210494665,0.273,Q07970/Q0WN69/Q8W5R6/Q9LZU5/Q9SJU0/Q8LGD1,CC
minus-end kinesin complex [GO:0005872],1,1,0.7650000000000001,0.8917003210494665,1,Q07970,CC
phragmoplast [GO:0009524],13,4,0.6346109340853084,0.8917003210494665,0.308,Q07970/Q9C9X0/Q9FF75/Q9SJW3,CC
spindle [GO:0005819],11,4,0.7541221706636753,0.8917003210494665,0.364,Q07970/Q9C9X0/Q93Y31/Q9LZU5,CC
endosome [GO:0005768],20,6,0.6775585194461949,0.8917003210494665,0.3,Q0WPN7/Q38874/Q8S396/Q9XGM8/Q9SIY7/Q9SKJ7,CC
Golgi membrane [GO:0000139],55,12,0.33098002500223345,0.8917003210494665,0.218,Q0WPN7/Q9XGM8/Q8L8W0/Q8RXE1/Q9LPU2/O23386/O49323/Q6NMI3/Q93ZE9/Q9CAA0/Q9SNE5/Q9FVV6,CC
trans-Golgi network [GO:0005802],18,6,0.7682341227503096,0.8917003210494665,0.333,Q0WPN7/Q9XGM8/Q8S2T0/Q9FY61/Q9SIY7/Q9SKJ7,CC
EARP complex [GO:1990745],1,1,0.7650000000000001,0.8917003210494665,1,Q0WQ75,CC
GARP complex [GO:0000938],1,1,0.7650000000000001,0.8917003210494665,1,Q0WQ75,CC
recycling endosome [GO:0055037],2,2,0.9448649324662332,0.9748606446080185,1,Q0WQ75/Q9SZF7,CC
PRC1 complex [GO:0035102],1,1,0.7650000000000001,0.8917003210494665,1,Q0WX00,CC
"chromosome, centromeric region [GO:0000775]",4,1,0.3421723945110777,0.8917003210494665,0.25,Q2LAE1,CC
microtubule cytoskeleton [GO:0015630],2,1,0.5851350675337672,0.8917003210494665,0.5,Q38874,CC
plant-type vacuole membrane [GO:0009705],7,2,0.4827772996950015,0.8917003210494665,0.286,Q43128/Q9LVP9,CC
chloroplast nucleoid [GO:0042644],4,1,0.3421723945110777,0.8917003210494665,0.25,Q84JF5,CC
plastid-encoded plastid RNA polymerase complex [GO:0000427],1,1,0.7650000000000001,0.8917003210494665,1,Q84JF5,CC
chloroplast inner membrane [GO:0009706],13,2,0.15258414410636867,0.8917003210494665,0.154,Q84MB5/Q94CJ5,CC
Golgi cisterna membrane [GO:0032580],5,2,0.6644590185996676,0.8917003210494665,0.4,Q8S396/Q8VY92,CC
